Order Date,Quantity,Sales,Profit,Discount,Quantity_Lag_1,Quantity_Lag_2,Quantity_Rolling_Mean_3,Sales_Lag_1,Profit_Lag_1,Month,Year,Sub-Category
2017-10-31,4,11199.97,3919.99,0.2,4.0,11.0,9.0,1879.96,689.99,10,2017,Copiers
2017-11-30,6,11399.949999999999,5114.99,0.2,4.0,4.0,6.333333333333333,11199.97,3919.99,11,2017,Copiers
2017-12-31,9,4379.92,1565.97,0.06666666666666667,6.0,4.0,4.666666666666667,11399.949999999999,5114.99,12,2017,Copiers
2014-05-31,0,0.0,0.0,0.0,10.0,16.0,9.666666666666666,4727.92,2233.17,5,2014,Machines
2014-06-30,8,691.76,-239.2,0.3666666666666667,0.0,10.0,8.666666666666666,0.0,0.0,6,2014,Machines
2014-07-31,4,399.54,-559.36,0.7,8.0,0.0,6.0,691.76,-239.2,7,2014,Machines
2014-08-31,11,8369.92,-1269.7,0.2,4.0,8.0,4.0,399.54,-559.36,8,2014,Machines
2014-09-30,22,10221.17,-2077.89,0.45,11.0,4.0,7.666666666666667,8369.92,-1269.7,9,2014,Machines
2014-10-31,0,0.0,0.0,0.0,22.0,11.0,12.333333333333334,10221.17,-2077.89,10,2014,Machines
2014-11-30,5,998.85,-199.77,0.4,0.0,22.0,11.0,0.0,0.0,11,2014,Machines
2014-12-31,5,7069.95,2270.0899999999997,0.0,5.0,0.0,9.0,998.85,-199.77,12,2014,Machines
2015-01-31,3,1919.98,216.0,0.2,5.0,5.0,3.3333333333333335,7069.95,2270.0899999999997,1,2015,Machines
2015-02-28,5,630.38,66.17,0.2,3.0,5.0,4.333333333333333,1919.98,216.0,2,2015,Machines
2015-03-31,4,482.34,-337.64,0.7,5.0,3.0,4.333333333333333,630.38,66.17,3,2015,Machines
2015-04-30,8,1379.92,648.56,0.0,4.0,5.0,4.0,482.34,-337.64,4,2015,Machines
2015-05-31,9,3372.86,254.59,0.30000000000000004,8.0,4.0,5.666666666666667,1379.92,648.56,5,2015,Machines
2015-06-30,0,0.0,0.0,0.0,9.0,8.0,7.0,3372.86,254.59,6,2015,Machines
2015-07-31,3,287.91,33.59,0.4,0.0,9.0,5.666666666666667,0.0,0.0,7,2015,Machines
2015-08-31,14,7963.78,3726.81,0.06666666666666667,3.0,0.0,4.0,287.91,33.59,8,2015,Machines
2015-09-30,12,3416.8,1619.82,0.0,14.0,3.0,5.666666666666667,7963.78,3726.81,9,2015,Machines
2015-10-31,6,1095.79,223.31,0.35,12.0,14.0,9.666666666666666,3416.8,1619.82,10,2015,Machines
2015-11-30,7,596.88,76.67,0.3,6.0,12.0,10.666666666666666,1095.79,223.31,11,2015,Machines
2015-12-31,4,2400.52,-2502.7299999999996,0.5,7.0,6.0,8.333333333333334,596.88,76.67,12,2015,Machines
2016-01-31,7,4899.93,2400.97,0.0,4.0,7.0,5.666666666666667,2400.52,-2502.7299999999996,1,2016,Machines
2016-02-29,8,10112.85,2780.51,0.15,7.0,4.0,6.0,4899.93,2400.97,2,2016,Machines
2016-03-31,9,961.95,-775.07,0.6,8.0,7.0,6.333333333333333,10112.85,2780.51,3,2016,Machines
2016-04-30,12,11136.18,2807.66,0.06666666666666667,9.0,8.0,8.0,961.95,-775.07,4,2016,Machines
2016-05-31,13,2768.38,295.96999999999997,0.2,12.0,9.0,9.666666666666666,11136.18,2807.66,5,2016,Machines
2016-06-30,5,4568.28,501.81,0.35,13.0,12.0,11.333333333333334,2768.38,295.96999999999997,6,2016,Machines
2016-07-31,9,5103.03,1111.31,0.2333333333333333,5.0,13.0,10.0,4568.28,501.81,7,2016,Machines
2016-08-31,9,943.15,98.44,0.2,9.0,5.0,9.0,5103.03,1111.31,8,2016,Machines
2016-09-30,6,1091.7,162.25,0.25,9.0,9.0,7.666666666666667,943.15,98.44,9,2016,Machines
2016-10-31,6,3699.59,58.54000000000002,0.44999999999999996,6.0,9.0,8.0,1091.7,162.25,10,2016,Machines
2016-11-30,28,7890.26,-5046.69,0.35,6.0,6.0,7.0,3699.59,58.54000000000002,11,2016,Machines
2016-12-31,3,281.53000000000003,-383.2,0.44999999999999996,28.0,6.0,13.333333333333334,7890.26,-5046.69,12,2016,Machines
2017-01-31,19,8295.82,1015.2900000000001,0.17500000000000002,3.0,28.0,12.333333333333334,281.53000000000003,-383.2,1,2017,Machines
2017-02-28,4,935.6800000000001,11.170000000000002,0.35,19.0,3.0,16.666666666666668,8295.82,1015.2900000000001,2,2017,Machines
2017-03-31,17,3280.9799999999996,304.52,0.225,4.0,19.0,8.666666666666666,935.6800000000001,11.170000000000002,3,2017,Machines
2017-04-30,11,11198.97,-7512.549999999999,0.5666666666666667,17.0,4.0,13.333333333333334,3280.9799999999996,304.52,4,2017,Machines
2017-05-31,5,5543.16,1390.6,0.1,11.0,17.0,10.666666666666666,11198.97,-7512.549999999999,5,2017,Machines
2017-06-30,5,3404.5,1668.21,0.0,5.0,11.0,11.0,5543.16,1390.6,6,2017,Machines
2017-07-31,2,3059.98,680.0,0.1,5.0,5.0,7.0,3404.5,1668.21,7,2017,Machines
2017-08-31,0,0.0,0.0,0.0,2.0,5.0,4.0,3059.98,680.0,8,2017,Machines
2017-09-30,13,1576.55,260.81,0.4,0.0,2.0,2.3333333333333335,0.0,0.0,9,2017,Machines
2017-10-31,7,695.98,-543.99,0.7,13.0,0.0,5.0,1576.55,260.81,10,2017,Machines
2017-11-30,17,2131.23,-677.63,0.27499999999999997,7.0,13.0,6.666666666666667,695.98,-543.99,11,2017,Machines
2017-12-31,5,599.97,232.79000000000002,0.25,17.0,7.0,12.333333333333334,2131.23,-677.63,12,2017,Machines
